Date,Time,Consumption,Prediction Day -1,Prediction Day,Fuel Oil,Coal,Gas,Nuclear,Wind,Solar,Hydraulic,Pump,Bioenergy,Physical exchange,CO2 rate,Exchange England,Exchange Spain,Exchange Italy,Exchange Switzerland,Exchange Germany-Belgium,Fuel – Gas turbine,Fuel – Cogeneration,Fuel – Other,Gas – Gas turbine,Gas – Cogeneration,Gas – CCGT,Gas – Other,Hydraulic – Ecluse,Hydaulic – Lakes,Hydraulic – Transfer Pump,Bioenergy – Waste,Bioenergy – Biomass,Bioenergy – Biogaz
2020-12-01,00:00,65553,66100,65700,200,670,7866,46669,6026,0,4681,-746,829,-642,69,-1127,-1350,-1248,-2889,3763,0,22,178,-1,2806,5061,0,3008,1615,58,207,358,263
2020-12-01,00:15,64904,65150,64650,190,791,8054,47268,6221,0,5308,-747,834,-3015,70,,,,,,2,24,164,-1,2792,5263,0,3008,2181,119,194,365,274
2020-12-01,00:30,63475,64200,63600,190,706,7814,46896,6427,0,4600,-749,837,-3246,69,-1127,-1350,-1248,-2889,3652,2,24,164,-1,2806,5009,0,2894,1706,0,195,367,274
2020-12-01,00:45,61626,63050,62500,177,702,7818,46886,6450,0,4316,-1470,838,-4091,70,,,,,,2,24,151,0,2778,5040,0,2857,1459,0,197,366,274
2020-12-01,01:00,61322,61900,61400,176,663,7606,46674,6587,0,4095,-1484,838,-3833,68,-1604,-1350,-1745,-3060,3686,1,24,151,-2,2779,4829,0,2797,1298,0,198,365,274
2020-12-01,01:15,61941,62350,61950,177,737,7775,46986,6581,0,4258,-1487,838,-3924,70,,,,,,2,24,151,-1,2768,5008,0,2781,1477,0,198,365,274
2020-12-01,01:30,61313,62800,62500,177,720,7719,46872,6740,0,4098,-1477,839,-4375,70,-1604,-1350,-1745,-3060,3686,2,24,151,-1,2767,4953,0,2728,1370,0,198,366,274
2020-12-01,01:45,61206,62550,62150,177,721,7729,46748,6931,0,3774,-1567,842,-4149,70,,,,,,2,24,151,-1,2763,4967,0,2685,1089,0,200,367,274
2020-12-01,02:00,61125,62300,61800,177,699,7589,46705,6978,0,3717,-1557,839,-4022,69,-1604,-1350,-1565,-2879,3666,2,24,151,-2,2771,4820,0,2671,1046,0,196,368,274
2020-12-01,02:15,60990,61550,61050,177,727,7392,46788,6941,0,3657,-1559,840,-3973,68,,,,,,2,24,151,0,2654,4738,0,2635,1022,0,197,368,274
2020-12-01,02:30,60125,60800,60300,176,708,7318,46731,7021,0,3593,-2043,839,-4218,68,-1604,-1350,-1565,-2879,3666,1,24,151,-1,2647,4672,0,2556,1037,0,199,365,274
2020-12-01,02:45,59236,59950,59500,177,697,7272,46714,7107,0,3421,-2476,838,-4514,68,,,,,,2,24,151,-2,2651,4623,0,2528,893,0,196,367,274
2020-12-01,03:00,58506,59100,58700,176,672,7165,46581,7016,0,3451,-2515,838,-4878,68,-1605,-894,-2518,-2966,2560,1,24,151,-2,2650,4517,0,2497,954,0,198,365,274
2020-12-01,03:15,57971,58900,58200,177,714,7324,46758,6978,0,3424,-2465,837,-5776,69,,,,,,2,24,151,-1,2651,4674,0,2424,1000,0,197,365,274
2020-12-01,03:30,57516,58700,57700,177,716,7335,46826,6805,0,3457,-2768,837,-5869,69,-1605,-894,-2518,-2966,2410,2,24,151,-1,2654,4682,0,2395,1062,0,196,366,274
2020-12-01,03:45,57119,58350,57150,177,719,7088,46848,6829,0,3469,-3059,838,-5790,68,,,,,,2,24,151,-2,2651,4439,0,2376,1093,0,197,366,274
2020-12-01,04:00,56934,58000,56600,177,718,7092,46867,6823,0,3444,-3227,840,-5800,68,-1606,-1417,-2626,-2976,2680,2,24,151,-1,2651,4442,0,2373,1071,0,199,366,274
2020-12-01,04:15,57022,58100,56600,177,712,6962,46888,6822,0,3516,-3050,839,-5844,67,,,,,,2,24,151,-2,2683,4281,0,2360,1156,0,197,367,274
2020-12-01,04:30,56574,58200,56600,177,715,6877,46987,6875,0,3562,-3045,835,-6409,67,-1606,-1417,-2626,-2976,2453,2,24,151,-1,2683,4195,0,2393,1169,0,195,365,274
2020-12-01,04:45,56645,58450,57000,177,717,7136,46962,6848,0,3561,-3161,841,-6436,68,,,,,,2,24,151,-1,2678,4459,0,2391,1170,0,200,366,274
2020-12-01,05:00,57227,58700,57400,177,720,7099,46862,6871,0,3580,-3398,840,-5524,69,-1599,-372,-2467,-3276,3912,2,24,151,-2,2673,4428,0,2390,1190,0,198,367,274
2020-12-01,05:15,58733,59800,58400,177,699,7056,46907,7028,0,3637,-3395,839,-4215,68,,,,,,2,24,151,0,2674,4382,0,2429,1208,0,199,365,274
