Date	Equipment	Parameter	Value	Unit
2021-03-14 00:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	21,000000000	%
2021-03-14 01:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	20,750000000	%
2021-03-14 03:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 03:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 03:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 03:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 04:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 04:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 04:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 04:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 05:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 05:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 05:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	20	%
2021-03-14 05:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	21	%
2021-03-14 06:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	22	%
2021-03-14 06:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 06:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 06:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 07:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 07:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 07:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 07:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	25	%
2021-03-14 08:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 08:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 08:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 08:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 09:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 09:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 09:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 09:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 10:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	23	%
2021-03-14 10:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 10:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 10:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 11:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 11:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 11:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	24	%
2021-03-14 11:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 12:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 12:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 12:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 12:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	27	%
2021-03-14 13:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	27	%
2021-03-14 13:25:00	5MultiSensor 6 (ZW100)	HUMIDITY	27	%
2021-03-14 13:40:00	5MultiSensor 6 (ZW100)	HUMIDITY	27	%
2021-03-14 13:55:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
2021-03-14 14:10:00	5MultiSensor 6 (ZW100)	HUMIDITY	26	%
