Cities,State,Population,Density(/sq mi),Incorporated
New York City,New York,8336817,28317,9/2/1664
Los Angeles,California,3979576,8484,4/4/1850
Chicago,Illinois,2693976,11900,3/4/1837
Houston,Texas,2320268,3613,6/5/1837
Phoenix,Arizona,1680992,3120,2/25/1881
Philadelphia,Pennsylvania,1584064,11683,10/25/1701
San Antonio,Texas,1547253,3238,6/5/1837
San Diego,California,1423851,4325,3/27/1850
Dallas,Texas,1343573,3866,2/2/1856
San Jose,California,1021795,5777,3/27/1850
Austin,Texas,978908,3031,12/27/1839
Jacksonville,Florida,911507,1178,2/9/1832
