Date,Time,Consumption,Fuel Oil,Coal,Gas,Nuclear,Wind,Solar,Hydraulic,Pump,Bioenergy
2020-12-01,00:00,65553,200,670,7866,46669,6026,0,4681,-746,829
2020-12-01,00:15,64904,190,791,8054,47268,6221,0,5308,-747,834
2020-12-01,00:30,63475,190,706,7814,46896,6427,0,4600,-749,837
2020-12-01,00:45,61626,177,702,7818,46886,6450,0,4316,-1470,838
2020-12-01,01:00,61322,176,663,7606,46674,6587,0,4095,-1484,838
2020-12-01,01:15,61941,177,737,7775,46986,6581,0,4258,-1487,838
2020-12-01,01:30,61313,177,720,7719,46872,6740,0,4098,-1477,839
2020-12-01,01:45,61206,177,721,7729,46748,6931,0,3774,-1567,842
2020-12-01,02:00,61125,177,699,7589,46705,6978,0,3717,-1557,839
2020-12-01,02:15,60990,177,727,7392,46788,6941,0,3657,-1559,840
2020-12-01,02:30,60125,176,708,7318,46731,7021,0,3593,-2043,839
2020-12-01,02:45,59236,177,697,7272,46714,7107,0,3421,-2476,838
2020-12-01,03:00,58506,176,672,7165,46581,7016,0,3451,-2515,838
2020-12-01,03:15,57971,177,714,7324,46758,6978,0,3424,-2465,837
2020-12-01,03:30,57516,177,716,7335,46826,6805,0,3457,-2768,837
2020-12-01,03:45,57119,177,719,7088,46848,6829,0,3469,-3059,838
2020-12-01,04:00,56934,177,718,7092,46867,6823,0,3444,-3227,840
2020-12-01,04:15,57022,177,712,6962,46888,6822,0,3516,-3050,839
2020-12-01,04:30,56574,177,715,6877,46987,6875,0,3562,-3045,835
2020-12-01,04:45,56645,177,717,7136,46962,6848,0,3561,-3161,841
2020-12-01,05:00,57227,177,720,7099,46862,6871,0,3580,-3398,840
2020-12-01,05:15,58733,177,699,7056,46907,7028,0,3637,-3395,839
2020-12-01,05:30,59198,177,713,7082,46987,7080,0,3712,-3392,839
2020-12-01,05:45,60028,177,731,7199,47161,7145,0,4063,-3362,838
2020-12-01,06:00,61048,177,775,7361,47076,7113,0,4355,-3376,839
2020-12-01,06:15,63330,177,712,7586,47075,7063,0,4688,-2265,838
2020-12-01,06:30,64406,177,699,7717,46981,7046,0,4939,-993,839
