Date,Parameter,Value,Unit
2020-12-02 02:04:55,PRESENCE,1,
2020-12-02 02:09:44,PRESENCE,0,
2020-12-02 06:15:31,PRESENCE,1,
2020-12-02 06:27:53,PRESENCE,0,
2020-12-02 06:33:01,PRESENCE,1,
2020-12-02 06:38:22,PRESENCE,0,
2020-12-02 06:56:51,PRESENCE,1,
2020-12-02 07:01:18,PRESENCE,0,
2020-12-02 07:31:10,PRESENCE,1,
2020-12-02 07:39:12,PRESENCE,0,
2020-12-02 08:18:15,PRESENCE,1,
2020-12-02 08:22:32,PRESENCE,0,
2020-12-02 08:30:26,PRESENCE,1,
2020-12-02 08:35:13,PRESENCE,0,
2020-12-02 08:45:52,PRESENCE,1,
2020-12-02 08:57:16,PRESENCE,0,
2020-12-02 09:04:35,PRESENCE,1,
2020-12-02 09:19:44,PRESENCE,0,
2020-12-02 09:29:33,PRESENCE,1,
2020-12-02 09:34:51,PRESENCE,0,
2020-12-02 10:46:00,PRESENCE,1,
2020-12-02 10:51:23,PRESENCE,0,
2020-12-02 11:09:22,PRESENCE,1,
2020-12-02 11:18:13,PRESENCE,0,
2020-12-02 11:18:49,PRESENCE,1,
2020-12-02 11:23:23,PRESENCE,0,
2020-12-02 11:30:38,PRESENCE,1,
2020-12-02 11:35:18,PRESENCE,0,
2020-12-02 11:41:42,PRESENCE,1,
2020-12-02 11:46:54,PRESENCE,0,
2020-12-02 11:47:35,PRESENCE,1,
2020-12-02 11:52:09,PRESENCE,0,
2020-12-02 11:53:59,PRESENCE,1,
2020-12-02 12:11:17,PRESENCE,0,
2020-12-02 12:11:34,PRESENCE,1,
2020-12-02 12:28:14,PRESENCE,0,
2020-12-02 12:28:23,PRESENCE,1,
2020-12-02 12:32:30,PRESENCE,0,
2020-12-02 12:47:59,PRESENCE,1,
2020-12-02 12:52:36,PRESENCE,0,
2020-12-02 13:05:25,PRESENCE,1,
2020-12-02 13:12:59,PRESENCE,0,
2020-12-02 14:09:03,PRESENCE,1,
2020-12-02 14:14:17,PRESENCE,0,
2020-12-02 14:22:54,PRESENCE,1,
2020-12-02 14:27:47,PRESENCE,0,
2020-12-02 14:31:33,PRESENCE,1,
2020-12-02 14:36:48,PRESENCE,0,
2020-12-02 14:36:53,PRESENCE,1,
2020-12-02 14:41:35,PRESENCE,0,
2020-12-02 15:58:21,PRESENCE,1,
2020-12-02 16:07:51,PRESENCE,0,
2020-12-02 17:07:28,PRESENCE,1,
2020-12-02 17:13:28,PRESENCE,0,
2020-12-02 18:28:13,PRESENCE,1,
2020-12-02 18:33:47,PRESENCE,0,
2020-12-02 18:42:07,PRESENCE,1,
2020-12-02 18:56:03,PRESENCE,0,
2020-12-02 18:57:26,PRESENCE,1,
2020-12-02 19:19:40,PRESENCE,0,
2020-12-02 19:40:14,PRESENCE,1,
2020-12-02 19:46:41,PRESENCE,0,
2020-12-02 19:47:30,PRESENCE,1,
2020-12-02 19:52:22,PRESENCE,0,
2020-12-02 19:54:54,PRESENCE,1,
2020-12-02 20:03:22,PRESENCE,0,
2020-12-03 05:32:59,PRESENCE,1,
2020-12-03 05:37:05,PRESENCE,0,
2020-12-03 05:57:03,PRESENCE,1,
2020-12-03 06:03:40,PRESENCE,0,
2020-12-03 08:35:24,PRESENCE,1,
2020-12-03 08:42:51,PRESENCE,0,
